Country Name,Capitol City,Population,GDP,COVID Cases,COVID Deaths,Area,CFR,GDPPC,CaseRate,DeathRate,PopDensity
Ghana,Accra,31072940,68532281806,161280,1445,238533,0.00896,2205.529,519.037,4.65,130.267
Brazil,Brasilia,212559417,1.44E+12,30617786,664516,8515767,0.021704,6774.576,14404.342,312.626,24.961
Central African Republic,Bangui,4829767,2380087758,14358,113,622984,0.00787,492.796,297.281,2.34,7.753
Ireland,Dublin,4937786,4.26E+11,1535161,7179,70273,0.004676,86273.484,31090.067,145.389,70.266
Tunisia,Tunis,11818619,41620349986,1041197,28575,163610,0.027444,3521.592,8809.803,241.78,72.237
United States,Washington,331002651,2.10E+13,81417085,991595,9372610,0.012179,63443.601,24597.11,299.573,35.316
Libya,Tripolis,6871292,25418916029,501919,6430,1759540,0.012811,3699.292,7304.58,93.578,3.905
Mali,Bamako,20250833,17465392916,30978,733,1240192,0.023662,862.453,152.971,3.62,16.329
China,Beijing,1439323776,1.47E+13,1552288,15529,9706961,0.010004,10213.129,107.848,1.079,148.277
Belize,Belmopan,397628,1636280797,57787,676,22966,0.011698,4115.105,14532.93,170.008,17.314
Poland,Warsaw,37846611,5.97E+11,6002863,116186,312679,0.019355,15774.2,15861.032,306.992,121.04
Niger,Niamey,24206644,13741378450,9013,310,1267000,0.034395,567.67,37.234,1.281,19.105
